ID,cod_saleid,email,firstname,lastname,country_code,createon,deliverydate,statu_code,imageurl,createdAt,createdBy,modifiedAt,modifiedBy
b1a2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,1001,john.doe@email.com,John,Doe,USA,2024-07-01,2024-07-05,InStock,img1.jpg,2024-07-01T10:00:00Z,admin,2024-07-01T10:00:00Z,admin
c2b3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,1002,jane.smith@email.com,Jane,Smith,MEX,2024-07-02,2024-07-06,OutOfStock,img2.jpg,2024-07-02T11:00:00Z,admin,2024-07-02T11:00:00Z,admin
d3c4e5f6-a7b8-4c9d-0e1f-2a3b4c5d6e7f,1003,maria.garcia@email.com,Maria,Garcia,BRA,2024-07-03,2024-07-07,LowAvailability,img3.jpg,2024-07-03T12:00:00Z,admin,2024-07-03T12:00:00Z,admin
e4d5f6a7-b8c9-4d0e-1f2a-3b4c5d6e7f8a,1004,juan.perez@email.com,Juan,Perez,ARG,2024-07-04,2024-07-08,InStock,img4.jpg,2024-07-04T13:00:00Z,admin,2024-07-04T13:00:00Z,admin
f5e6a7b8-c9d0-4e1f-2a3b-4c5d6e7f8a9b,1005,ana.lopez@email.com,Ana,Lopez,COL,2024-07-05,2024-07-09,OutOfStock,img5.jpg,2024-07-05T14:00:00Z,admin,2024-07-05T14:00:00Z,admin
a6f7b8c9-d0e1-4f2a-3b4c-5d6e7f8a9b0c,1006,luis.martinez@email.com,Luis,Martinez,PER,2024-07-06,2024-07-10,LowAvailability,img6.jpg,2024-07-06T15:00:00Z,admin,2024-07-06T15:00:00Z,admin
b7a8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,1007,carla.sanchez@email.com,Carla,Sanchez,CHL,2024-07-07,2024-07-11,InStock,img7.jpg,2024-07-07T16:00:00Z,admin,2024-07-07T16:00:00Z,admin
c8b9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,1008,roberto.gomez@email.com,Roberto,Gomez,ECU,2024-07-08,2024-07-12,OutOfStock,img8.jpg,2024-07-08T17:00:00Z,admin,2024-07-08T17:00:00Z,admin
d9c0e1f2-a3b4-4c5d-6e7f-8a9b0c1d2e3f,1009,sofia.fernandez@email.com,Sofia,Fernandez,VEN,2024-07-09,2024-07-13,LowAvailability,img9.jpg,2024-07-09T18:00:00Z,admin,2024-07-09T18:00:00Z,admin
e0d1f2a3-b4c5-4d6e-7f8a-9b0c1d2e3f4a,1010,diego.torres@email.com,Diego,Torres,CAN,2024-07-10,2024-07-14,InStock,img10.jpg,2024-07-10T19:00:00Z,admin,2024-07-10T19:00:00Z,admin
f1e2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a5b,1011,laura.ruiz@email.com,Laura,Ruiz,ESP,2024-07-11,2024-07-15,OutOfStock,img11.jpg,2024-07-11T20:00:00Z,admin,2024-07-11T20:00:00Z,admin
a2f3b4c5-d6e7-4f8a-9b0c-1d2e3f4a5b6c,1012,fernando.morales@email.com,Fernando,Morales,FRA,2024-07-12,2024-07-16,LowAvailability,img12.jpg,2024-07-12T21:00:00Z,admin,2024-07-12T21:00:00Z,admin
b3a4c5d6-e7f8-4a9b-0c1d-2e3f4a5b6c7d,1013,paula.romero@email.com,Paula,Romero,DEU,2024-07-13,2024-07-17,InStock,img13.jpg,2024-07-13T22:00:00Z,admin,2024-07-13T22:00:00Z,admin
c4b5d6e7-f8a9-4b0c-1d2e-3f4a5b6c7d8e,1014,jorge.mendez@email.com,Jorge,Mendez,ITA,2024-07-14,2024-07-18,OutOfStock,img14.jpg,2024-07-14T23:00:00Z,admin,2024-07-14T23:00:00Z,admin
d5c6e7f8-a9b0-4c1d-2e3f-4a5b6c7d8e9f,1015,monica.silva@email.com,Monica,Silva,GBR,2024-07-15,2024-07-19,LowAvailability,img15.jpg,2024-07-15T09:00:00Z,admin,2024-07-15T09:00:00Z,admin
e6d7f8a9-b0c1-4d2e-3f4a-5b6c7d8e9f0a,1016,ricardo.ortiz@email.com,Ricardo,Ortiz,JPN,2024-07-16,2024-07-20,InStock,img16.jpg,2024-07-16T10:00:00Z,admin,2024-07-16T10:00:00Z,admin
f7e8a9b0-c1d2-4e3f-4a5b-6c7d8e9f0a1b,1017,camila.navarro@email.com,Camila,Navarro,CHN,2024-07-17,2024-07-21,OutOfStock,img17.jpg,2024-07-17T11:00:00Z,admin,2024-07-17T11:00:00Z,admin
a8f9b0c1-d2e3-4f4a-5b6c-7d8e9f0a1b2c,1018,daniel.castro@email.com,Daniel,Castro,IND,2024-07-18,2024-07-22,LowAvailability,img18.jpg,2024-07-18T12:00:00Z,admin,2024-07-18T12:00:00Z,admin
b9a0c1d2-e3f4-4a5b-6c7d-8e9f0a1b2c3d,1019,patricia.molina@email.com,Patricia,Molina,AUS,2024-07-19,2024-07-23,InStock,img19.jpg,2024-07-19T13:00:00Z,admin,2024-07-19T13:00:00Z,admin
c0b1d2e3-f4a5-4b6c-7d8e-9f0a1b2c3d4e,1020,alejandro.reyes@email.com,Alejandro,Reyes,RUS,2024-07-20,2024-07-24,OutOfStock,img20.jpg,2024-07-20T14:00:00Z,admin,2024-07-20T14:00:00Z,admin
